date,customer_id,bet_value,win,commission
2017-11-11 18:40:31,ID-54,44.783304626069,0,0.0
2016-05-17 06:28:18,ID-73,51.274769448012975,1,5.127476944801298
2017-10-11 01:16:40,ID-84,46.468426121119904,0,0.0
2016-10-03 01:43:12,ID-45,52.95353001667693,1,5.295353001667693
2017-10-28 07:03:15,ID-54,69.52504402307056,1,6.952504402307056
2016-10-23 09:03:45,ID-95,50.96158030367722,1,5.0961580303677225
2017-02-16 23:56:38,ID-53,28.127992313582133,0,0.0
2017-04-16 13:50:57,ID-49,47.160455872222734,1,4.716045587222274
2018-10-21 02:12:04,ID-55,72.05702828762453,1,7.205702828762454
2017-02-20 05:08:30,ID-42,40.90218956393282,1,4.090218956393282
2018-05-27 08:34:53,ID-13,49.36149275335092,0,0.0
2017-07-15 06:23:56,ID-61,76.81880037067901,0,0.0
2017-01-18 14:03:05,ID-69,71.75364937409451,1,7.1753649374094515
2017-08-29 14:11:44,ID-9,41.681116428721445,0,0.0
2018-04-26 21:38:51,ID-47,44.76976446127508,1,4.476976446127508
2016-06-09 21:14:42,ID-3,42.66371360715001,0,0.0
2016-12-24 14:43:27,ID-28,56.770161208662905,0,0.0
2017-06-18 00:40:21,ID-30,100.67876609581967,0,0.0
2016-11-07 19:41:16,ID-64,22.773265815585553,1,2.2773265815585555
2017-06-11 15:28:30,ID-66,54.82056773227405,1,5.482056773227406
2018-09-21 22:55:38,ID-87,90.44129110337508,1,9.044129110337508
2017-02-02 08:50:07,ID-21,39.14785988863402,0,0.0
2017-06-26 08:14:16,ID-30,37.52892166567277,1,3.752892166567277
2017-09-03 08:16:23,ID-76,24.97092697837111,0,0.0
2017-05-05 00:04:30,ID-88,57.90428432933064,0,0.0
2016-05-02 06:36:58,ID-46,53.359681608635974,0,0.0
2018-03-17 00:27:31,ID-47,42.59653398020911,1,4.2596533980209115
2018-04-13 17:00:32,ID-13,48.177687395919214,1,4.817768739591922
2016-06-14 19:49:05,ID-73,45.82847632829423,0,0.0
2016-01-12 03:19:18,ID-60,51.50006630594834,0,0.0
2018-06-26 09:35:33,ID-70,92.92133146900434,0,0.0
2018-12-29 20:47:50,,119.38208283221546,0,0.0
2017-05-08 21:25:32,ID-29,72.44769341602637,1,7.2447693416026375
2016-06-07 03:10:29,ID-6,57.19857565338691,0,0.0
2017-06-27 06:17:33,ID-66,89.96261511457912,1,8.996261511457913
2016-07-26 14:01:35,ID-32,62.620275992843744,1,6.262027599284375
2018-07-15 15:40:59,ID-78,24.025024044766077,0,0.0
2017-10-28 16:23:43,ID-9,70.3257793814267,1,7.03257793814267
2018-12-08 06:25:16,ID-74,66.28729217259092,0,0.0
2016-05-23 07:40:48,ID-43,35.96674968824231,1,3.596674968824231
2018-02-10 20:16:12,ID-15,72.47536649584441,0,0.0
2017-12-21 00:35:59,ID-24,82.83126949535301,1,8.283126949535301
2017-02-10 00:14:19,ID-21,47.23387132789719,1,4.7233871327897194
2017-10-02 00:28:33,ID-84,38.972103524650564,0,0.0
2018-05-09 21:36:55,ID-33,53.0189066377418,1,5.301890663774181
2017-11-03 05:29:20,ID-40,23.787197043506445,0,0.0
2017-07-30 06:50:58,ID-34,82.05982642831668,0,0.0
2016-03-19 12:21:23,ID-2,54.06376859310699,1,5.4063768593107
2018-09-13 12:02:49,ID-8,81.3113313465758,1,8.13113313465758
2018-07-14 06:30:46,ID-70,108.97365986971323,0,0.0
2018-09-29 14:52:08,ID-93,61.03327965752526,1,6.103327965752527
2016-10-15 09:36:25,ID-52,19.739411474560775,0,0.0
2016-12-13 20:28:58,ID-59,58.62334765896428,1,5.862334765896428
2017-11-18 22:54:29,ID-77,53.45226957299235,0,0.0
2016-08-22 08:08:24,ID-98,18.764439754186675,0,0.0
2018-03-02 10:34:31,ID-15,73.61405350599276,0,0.0
2016-12-21 17:52:21,ID-28,26.240878606093606,1,2.624087860609361
2016-12-22 05:29:47,ID-64,53.713592471599064,0,0.0
2016-06-25 08:31:35,ID-43,35.08776222011143,1,3.508776222011143
